Library	Reads
SE1	4HDRNF_7_filtered.fastq
SE2	4HDRNF_6_filtered.fastq
SE3	4HDRNF_8_filtered.fastq
SE4	4HDRNF_9_filtered.fastq
SE5	4HDRNF_2_filtered.fastq
SE6	4HDRNF_3_filtered.fastq
SE7	4HDRNF_5_filtered.fastq
SE8	4HDRNF_21_filtered.fastq
SE9	4HDRNF_4_filtered.fastq
SE10	4HDRNF_1_filtered.fastq
SE11	4HDRNF_19_filtered.fastq
SE12	4HDRNF_17_filtered.fastq
SE13	4HDRNF_20_filtered.fastq
SE14	4HDRNF_16_filtered.fastq
SE15	4HDRNF_18_filtered.fastq
SE16	4HDRNF_10_filtered.fastq
SE17	4HDRNF_11_filtered.fastq
SE18	4HDRNF_12_filtered.fastq
SE19	4HDRNF_14_filtered.fastq
SE20	4HDRNF_15_filtered.fastq
SE21	4HDRNF_13_filtered.fastq
