Genome,Genome ID,Accession,BRC ID,RefSeq Locus Tag,Alt Locus Tag,Feature ID,Annotation,Feature Type,Start,End,Length,Strand,FIGfam ID,PATRIC genus-specific families (PLfams),PATRIC cross-genus families (PGfams),Protein ID,AA Length,Gene Symbol,Product,GO
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.974",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1000284.1000853.fwd","PATRIC","CDS",1000284,1000853,570,"+",,"PLF_561_00002461","PGF_08473931",,189,,"Flavin prenyltransferase UbiX",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.975",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1001119.1001901.fwd","PATRIC","CDS",1001119,1001901,783,"+",,"PLF_561_00000249","PGF_00835800",,260,,"Lysine-arginine-ornithine-binding ABC transporter, substrate-binding protein ArgT (TC 3.A.1.3.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.94",,,"PATRIC.562.163959.562.163959.con.0001.CDS.100195.100671.fwd","PATRIC","CDS",100195,100671,477,"+",,"PLF_561_00002527","PGF_01043799",,158,,"Transcription elongation factor GreA",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.976",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1002122.1002904.fwd","PATRIC","CDS",1002122,1002904,783,"+",,"PLF_561_00000722","PGF_12871971",,260,,"Histidine ABC transporter, substrate-binding protein HisJ (TC 3.A.1.3.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.977",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1002994.1003680.fwd","PATRIC","CDS",1002994,1003680,687,"+",,"PLF_561_00001521","PGF_00011816",,228,,"Histidine ABC transporter, permease protein HisQ (TC 3.A.1.3.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.978",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1003677.1004393.fwd","PATRIC","CDS",1003677,1004393,717,"+",,"PLF_561_00001735","PGF_00974916",,238,,"Histidine ABC transporter, permease protein HisM (TC 3.A.1.3.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.979",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1004401.1005174.fwd","PATRIC","CDS",1004401,1005174,774,"+",,"PLF_561_00001734","PGF_00011803",,257,,"Histidine ABC transporter, ATP-binding protein HisP (TC 3.A.1.3.1)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.980",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1005371.1006261.fwd","PATRIC","CDS",1005371,1006261,891,"+",,"PLF_561_00003488","PGF_00065540",,296,,"Uncharacterized protein YfcI",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.981",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1006309.1007202.rev","PATRIC","CDS",1006309,1007202,894,"-",,"PLF_561_00001601","PGF_00127024",,297,,"Cell division inhibitor Slr1223 (YfcH in EC), contains epimerase/dehydratase and DUF1731 domains",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.982",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1007223.1007585.rev","PATRIC","CDS",1007223,1007585,363,"-",,"PLF_561_00001414","PGF_00420920",,120,,"D-erythro-7,8-dihydroneopterin triphosphate epimerase",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.983",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1007642.1008289.rev","PATRIC","CDS",1007642,1008289,648,"-",,"PLF_561_00002508","PGF_00037104",,215,,"Probable glutathione S-transferase (EC 2.5.1.18), YfcG homolog","GO:0004364|glutathione transferase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.95",,,"PATRIC.562.163959.562.163959.con.0001.CDS.100827.101120.rev","PATRIC","CDS",100827,101120,294,"-",,"PLF_561_00001969","PGF_04287303",,97,,"RNA-binding protein YhbY",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.984",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1008425.1009069.fwd","PATRIC","CDS",1008425,1009069,645,"+",,"PLF_561_00002123","PGF_00037103",,214,,"Probable glutathione S-transferase (EC 2.5.1.18), YfcF homolog","GO:0004364|glutathione transferase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.985",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1009125.1009676.fwd","PATRIC","CDS",1009125,1009676,552,"+",,"PLF_561_00002425","PGF_00033379",,183,,"Phosphodiesterase YfcE",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.986",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1009734.1010276.fwd","PATRIC","CDS",1009734,1010276,543,"+",,"PLF_561_00002970","PGF_00064596",,180,,"Uncharacterized Nudix hydrolase YfcD",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.987",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1010309.1011787.rev","PATRIC","CDS",1010309,1011787,1479,"-",,"PLF_561_00001232","PGF_07297028",,492,,"Uncharacterized protein YfcC",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.988",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1012019.1014163.rev","PATRIC","CDS",1012019,1014163,2145,"-",,"PLF_561_00001408","PGF_01937476",,714,,"BioD-like N-terminal domain / Phosphate acetyltransferase (EC 2.3.1.8)","GO:0008959|phosphate acetyltransferase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.96",,,"PATRIC.562.163959.562.163959.con.0001.CDS.101246.101875.fwd","PATRIC","CDS",101246,101875,630,"+",,"PLF_561_00001323","PGF_00415581",,209,,"23S rRNA (uridine(2552)-2'-O)-methyltransferase (EC 2.1.1.166)",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.989",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1014238.1015440.rev","PATRIC","CDS",1014238,1015440,1203,"-",,"PLF_561_00000989","PGF_09945671",,400,,"Acetate kinase (EC 2.7.2.1)","GO:0008776|acetate kinase activity"
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.990",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1015578.1015709.fwd","PATRIC","CDS",1015578,1015709,132,"+",,"PLF_561_00003399","PGF_00144358",,43,,"hypothetical protein",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.991",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1015778.1016233.fwd","PATRIC","CDS",1015778,1016233,456,"+",,"PLF_561_00002040","PGF_00064239",,151,,"UPF0208 membrane protein YfbV",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.992",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1016316.1016810.fwd","PATRIC","CDS",1016316,1016810,495,"+",,"PLF_561_00002531","PGF_00064297",,164,,"UPF0304 protein yfbU",
"Escherichia coli MG1655_flye_assemble","562.163959","562.163959.con.0001","fig|562.163959.peg.993",,,"PATRIC.562.163959.562.163959.con.0001.CDS.1016821.1017471.fwd","PATRIC","CDS",1016821,1017471,651,"+",,"PLF_561_00002030","PGF_00054818",,216,,"Hexitol phosphatase HxpA (EC 3.1.3.22) (EC 3.1.3.23) (EC 3.1.3.50)","GO:0050084|mannitol-1-phosphatase activity;GO:0050308|sugar-phosphatase activity;GO:0050286|sorbitol-6-phosphatase activity"
